,Sample,Dataset,biome_0,biome_1,biome_2,biome_3,biome_4,family,category,mammals
ERS1459889,ERS1459889,MGYS00001321,root,Environmental,Aquatic,Non-marine Saline and Alkaline,Hypersaline,NA,Environmental,Others
ERS1459890,ERS1459890,MGYS00001321,root,Environmental,Aquatic,Non-marine Saline and Alkaline,Hypersaline,NA,Environmental,Others
ERS1474378,ERS1474378,MGYS00001380,root,Host-associated,Mammalia,Digestive system,Fecal,Muridae,Animal,Mammalia
ERS1474385,ERS1474385,MGYS00001380,root,Host-associated,Mammalia,Digestive system,Fecal,Muridae,Animal,Mammalia
ERS1546719,ERS1546719,MGYS00004547,root,Environmental,Aquatic,Non-marine Saline and Alkaline,Saline,NA,Environmental,Others
ERS1546720,ERS1546720,MGYS00004547,root,Environmental,Aquatic,Non-marine Saline and Alkaline,Saline,NA,Environmental,Others
ERS1579925,ERS1579925,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579927,ERS1579927,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579929,ERS1579929,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579930,ERS1579930,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579932,ERS1579932,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579933,ERS1579933,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579934,ERS1579934,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579935,ERS1579935,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579937,ERS1579937,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579938,ERS1579938,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579939,ERS1579939,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579941,ERS1579941,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579942,ERS1579942,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579943,ERS1579943,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579944,ERS1579944,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579945,ERS1579945,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579946,ERS1579946,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579947,ERS1579947,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579948,ERS1579948,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579950,ERS1579950,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579952,ERS1579952,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579953,ERS1579953,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1579955,ERS1579955,MGYS00001583,root,Host-associated,Actinopterygii,Digestive system,Foregut,Salmonidae,Animal,Others
ERS1719612,ERS1719612,MGYS00001761,root,Environmental,Terrestrial,Soil,Permafrost,NA,Environmental,Others
ERS1719613,ERS1719613,MGYS00001761,root,Environmental,Terrestrial,Soil,Permafrost,NA,Environmental,Others
ERS1719616,ERS1719616,MGYS00001761,root,Environmental,Terrestrial,Soil,Permafrost,NA,Environmental,Others
ERS1719617,ERS1719617,MGYS00001761,root,Environmental,Terrestrial,Soil,Permafrost,NA,Environmental,Others
ERS1719619,ERS1719619,MGYS00001761,root,Environmental,Terrestrial,Soil,Permafrost,NA,Environmental,Others
ERS1847598,ERS1847598,MGYS00001912,root,Host-associated,Mammalia,Digestive system,Fecal,Muridae,Animal,Mammalia
ERS1847603,ERS1847603,MGYS00001912,root,Host-associated,Mammalia,Digestive system,Fecal,Muridae,Animal,Mammalia
ERS1847609,ERS1847609,MGYS00001912,root,Host-associated,Mammalia,Digestive system,Fecal,Muridae,Animal,Mammalia
ERS2085081,ERS2085081,MGYS00003488,root,Host-associated,Mammalia,Digestive system,Fecal,Suidae,Animal,Mammalia
ERS2085097,ERS2085097,MGYS00003488,root,Host-associated,Mammalia,Digestive system,Fecal,Suidae,Animal,Mammalia
ERS2085102,ERS2085102,MGYS00003488,root,Host-associated,Aves,Digestive system,Fecal,Phasianidae,Animal,Others
ERS2085138,ERS2085138,MGYS00003488,root,Host-associated,Aves,Digestive system,Fecal,Phasianidae,Animal,Others
ERS2085150,ERS2085150,MGYS00003488,root,Host-associated,Mammalia,Digestive system,Fecal,Suidae,Animal,Mammalia
ERS2085180,ERS2085180,MGYS00003488,root,Host-associated,Aves,Digestive system,Fecal,Phasianidae,Animal,Others
ERS2085182,ERS2085182,MGYS00003488,root,Host-associated,Aves,Digestive system,Fecal,Phasianidae,Animal,Others
ERS2085187,ERS2085187,MGYS00003488,root,Host-associated,Aves,Digestive system,Fecal,Phasianidae,Animal,Others
ERS2085192,ERS2085192,MGYS00003488,root,Host-associated,Aves,Digestive system,Fecal,Phasianidae,Animal,Others
ERS2085201,ERS2085201,MGYS00003488,root,Host-associated,Aves,Digestive system,Fecal,Phasianidae,Animal,Others
ERS2085221,ERS2085221,MGYS00003488,root,Host-associated,Mammalia,Digestive system,Fecal,Suidae,Animal,Mammalia
ERS2085225,ERS2085225,MGYS00003488,root,Host-associated,Mammalia,Digestive system,Fecal,Suidae,Animal,Mammalia
ERS2085248,ERS2085248,MGYS00003488,root,Host-associated,Aves,Digestive system,Fecal,Phasianidae,Animal,Others
ERS2085258,ERS2085258,MGYS00003488,root,Host-associated,Mammalia,Digestive system,Fecal,Suidae,Animal,Mammalia
ERS2085267,ERS2085267,MGYS00003488,root,Host-associated,Mammalia,Digestive system,Fecal,Suidae,Animal,Mammalia
ERS2085269,ERS2085269,MGYS00003488,root,Host-associated,Aves,Digestive system,Fecal,Phasianidae,Animal,Others
ERS2085273,ERS2085273,MGYS00003488,root,Host-associated,Aves,Digestive system,Fecal,Phasianidae,Animal,Others
ERS2085281,ERS2085281,MGYS00003488,root,Host-associated,Mammalia,Digestive system,Fecal,Suidae,Animal,Mammalia
ERS2085318,ERS2085318,MGYS00003488,root,Host-associated,Mammalia,Digestive system,Fecal,Suidae,Animal,Mammalia
ERS2085321,ERS2085321,MGYS00003488,root,Host-associated,Mammalia,Digestive system,Fecal,Suidae,Animal,Mammalia
ERS2085337,ERS2085337,MGYS00003488,root,Host-associated,Aves,Digestive system,Fecal,Phasianidae,Animal,Others
ERS2085340,ERS2085340,MGYS00003488,root,Host-associated,Aves,Digestive system,Fecal,Phasianidae,Animal,Others
ERS2085352,ERS2085352,MGYS00003488,root,Host-associated,Aves,Digestive system,Fecal,Phasianidae,Animal,Others
ERS2085357,ERS2085357,MGYS00003488,root,Host-associated,Mammalia,Digestive system,Fecal,Suidae,Animal,Mammalia
ERS2085366,ERS2085366,MGYS00003488,root,Host-associated,Aves,Digestive system,Fecal,Phasianidae,Animal,Others
ERS2085389,ERS2085389,MGYS00003488,root,Host-associated,Mammalia,Digestive system,Fecal,Suidae,Animal,Mammalia
ERS2085419,ERS2085419,MGYS00003488,root,Host-associated,Mammalia,Digestive system,Fecal,Suidae,Animal,Mammalia
ERS2176280,ERS2176280,MGYS00002286,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS2176281,ERS2176281,MGYS00002286,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS2176282,ERS2176282,MGYS00002286,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS2176283,ERS2176283,MGYS00002286,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS2176284,ERS2176284,MGYS00002286,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS2176285,ERS2176285,MGYS00002286,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS2176286,ERS2176286,MGYS00002286,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS2176287,ERS2176287,MGYS00002286,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS2176288,ERS2176288,MGYS00002286,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS2176289,ERS2176289,MGYS00002286,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS2176290,ERS2176290,MGYS00002286,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS2176291,ERS2176291,MGYS00002286,root,Environmental,Aquatic,Marine,Coastal,NA,Environmental,Others
ERS233525,ERS233525,MGYS00000320,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
ERS233527,ERS233527,MGYS00000320,root,Environmental,Aquatic,Marine,Intertidal zone,NA,Environmental,Others
ERS2464028,ERS2464028,MGYS00002388,root,Host-associated,Mammalia,Digestive system,Large intestine,Muridae,Animal,Mammalia
