Sample	Dataset	biome_0	biome_1	biome_2	biome_3	biome_4	family
ERS1286108	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286107	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286099	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286100	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286209	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286207	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286196	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286194	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286210	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286098	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286204	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286097	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286105	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286208	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286195	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286103	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286101	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286110	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286206	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1286104	MGYS00001512	root	Environmental	Aquatic	Marine	Sediment	NA
ERS1579950	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579932	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579942	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579952	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579945	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579947	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579930	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579948	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579939	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579941	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579925	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579944	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579934	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579938	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579943	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579955	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579927	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579946	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579937	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579933	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579929	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579935	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1579953	MGYS00001583	root	Host-associated	Actinopterygii	Digestive system	Foregut	Salmonidae
ERS1222675	MGYS00001690	root	Environmental	Aquatic	Freshwater	Lentic	NA
ERS1222674	MGYS00001690	root	Environmental	Aquatic	Freshwater	Lentic	NA
ERS1222676	MGYS00001690	root	Environmental	Aquatic	Freshwater	Lentic	NA
ERS1222671	MGYS00001690	root	Environmental	Aquatic	Freshwater	Lentic	NA
ERS1222673	MGYS00001690	root	Environmental	Aquatic	Freshwater	Lentic	NA
ERS1222672	MGYS00001690	root	Environmental	Aquatic	Freshwater	Lentic	NA
ERS1719614	MGYS00001761	root	Environmental	Terrestrial	Soil	Permafrost	NA
ERS1719615	MGYS00001761	root	Environmental	Terrestrial	Soil	Permafrost	NA
ERS1719607	MGYS00001761	root	Environmental	Terrestrial	Soil	Permafrost	NA
ERS1719605	MGYS00001761	root	Environmental	Terrestrial	Soil	Permafrost	NA
ERS1719619	MGYS00001761	root	Environmental	Terrestrial	Soil	Permafrost	NA
ERS1719617	MGYS00001761	root	Environmental	Terrestrial	Soil	Permafrost	NA
ERS1719616	MGYS00001761	root	Environmental	Terrestrial	Soil	Permafrost	NA
ERS1719613	MGYS00001761	root	Environmental	Terrestrial	Soil	Permafrost	NA
ERS1719612	MGYS00001761	root	Environmental	Terrestrial	Soil	Permafrost	NA
ERS1719610	MGYS00001761	root	Environmental	Terrestrial	Soil	Permafrost	NA
ERS1719609	MGYS00001761	root	Environmental	Terrestrial	Soil	Permafrost	NA
ERS1719608	MGYS00001761	root	Environmental	Terrestrial	Soil	Permafrost	NA
ERS723591	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723612	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723614	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
ERS723595	MGYS00001796	root	Host-associated	Mammalia	Digestive system	Large intestine	Felidae
